,item_number,item,country,value_orig,year,converted_value,converted_value_d,converted_value_dthous,converted_value_thous,quantity_head,quantity_tonnes,value,value_thous,ISO3,ISO2,latpc,longpc,exchange_rate,longrc,latrc
10,6,Potatoes and frozen potatoes,Austria,2737,2017,1417.377812,1417.377812,1417377.812,1417377.812,0,910,1827,1827000,AUT,AT,47.516231,14.550072,1.289,-3.435973,55.378051
24,6,Potatoes and frozen potatoes,Belgium,571121,2017,211633.8247,211633.8247,211633824.7,211633824.7,0,298325,272796,272796000,BEL,BE,50.503887,4.469936,1.289,-3.435973,55.378051
46,6,Potatoes and frozen potatoes,China,2,2017,0.77579519,0.77579519,775.7951901,775.7951901,0,1,1,1000,CHN,CN,35.86166,104.195397,1.289,-3.435973,55.378051
57,6,Potatoes and frozen potatoes,Colombia,32,2017,20.17067494,20.17067494,20170.67494,20170.67494,0,6,26,26000,COL,CO,4.570868,-74.297333,1.289,-3.435973,55.378051
60,6,Potatoes and frozen potatoes,Croatia,190,2017,34.13498836,34.13498836,34134.98836,34134.98836,0,146,44,44000,HRV,HR,45.1,15.2,1.289,-3.435973,55.378051
71,6,Potatoes and frozen potatoes,Cyprus,20716,2017,5465.477114,5465.477114,5465477.114,5465477.114,0,13671,7045,7045000,CYP,CY,35.126413,33.429859,1.289,-3.435973,55.378051
79,6,Potatoes and frozen potatoes,Czechia,1,2017,0.77579519,0.77579519,775.7951901,775.7951901,0,0,1,1000,CZE,CZ,49.817492,15.472962,1.289,-3.435973,55.378051
90,6,Potatoes and frozen potatoes,Denmark,4442,2017,1673.390225,1673.390225,1673390.225,1673390.225,0,2285,2157,2157000,DNK,DK,56.26392,9.501785,1.289,-3.435973,55.378051
102,6,Potatoes and frozen potatoes,Egypt,14000,2017,3846.392552,3846.392552,3846392.552,3846392.552,0,9042,4958,4958000,EGY,EG,26.820553,30.802498,1.289,-3.435973,55.378051
119,6,Potatoes and frozen potatoes,France,37024,2017,10519.00698,10519.00698,10519006.98,10519006.98,0,23465,13559,13559000,FRA,FR,46.227638,2.213749,1.289,-3.435973,55.378051
130,6,Potatoes and frozen potatoes,Germany,31795,2017,11414.27463,11414.27463,11414274.63,11414274.63,0,17082,14713,14713000,DEU,DE,51.165691,10.451526,1.289,-3.435973,55.378051
142,6,Potatoes and frozen potatoes,Greece,106,2017,24.04965089,24.04965089,24049.65089,24049.65089,0,75,31,31000,GRC,GR,39.074208,21.824312,1.289,-3.435973,55.378051
149,6,Potatoes and frozen potatoes,Hungary,28,2017,6.206361521,6.206361521,6206.361521,6206.361521,0,20,8,8000,HUN,HU,47.162494,19.503304,1.289,-3.435973,55.378051
161,6,Potatoes and frozen potatoes,India,69,2017,37.23816912,37.23816912,37238.16912,37238.16912,0,21,48,48000,IND,IN,20.593684,78.96288,1.289,-3.435973,55.378051
173,6,Potatoes and frozen potatoes,Ireland,40842,2017,12411.17145,12411.17145,12411171.45,12411171.45,0,24844,15998,15998000,IRL,IE,53.41291,-8.24389,1.289,-3.435973,55.378051
184,6,Potatoes and frozen potatoes,Israel,70828,2017,18678.045,18678.045,18678045,18678045,0,46752,24076,24076000,ISR,IL,31.046051,34.851612,1.289,-3.435973,55.378051
195,6,Potatoes and frozen potatoes,Italy,7065,2017,2005.430566,2005.430566,2005430.566,2005430.566,0,4480,2585,2585000,ITA,IT,41.87194,12.56738,1.289,-3.435973,55.378051
203,6,Potatoes and frozen potatoes,Japan,2,2017,0.77579519,0.77579519,775.7951901,775.7951901,0,1,1,1000,JPN,JP,36.204824,138.252924,1.289,-3.435973,55.378051
205,6,Potatoes and frozen potatoes,Latvia,4,2017,2.32738557,2.32738557,2327.38557,2327.38557,0,1,3,3000,LVA,LV,56.879635,24.603189,1.289,-3.435973,55.378051
216,6,Potatoes and frozen potatoes,Lithuania,1903,2017,437.5484872,437.5484872,437548.4872,437548.4872,0,1339,564,564000,LTU,LT,55.169438,23.881275,1.289,-3.435973,55.378051
218,6,Potatoes and frozen potatoes,Malta,39,2017,10.86113266,10.86113266,10861.13266,10861.13266,0,25,14,14000,MLT,MT,35.937496,14.375416,1.289,-3.435973,55.378051
232,6,Potatoes and frozen potatoes,Netherlands,719312,2017,272071.3732,272071.3732,272071373.2,272071373.2,0,368612,350700,350700000,NLD,NL,52.132633,5.291266,1.289,-3.435973,55.378051
238,6,Potatoes and frozen potatoes,Norway,4,2017,0,0,0,0,0,4,0,0,NOR,NO,60.472024,8.468946,1.289,-3.435973,55.378051
256,6,Potatoes and frozen potatoes,Philippines,3,2017,2.32738557,2.32738557,2327.38557,2327.38557,0,0,3,3000,PHL,PH,12.879721,121.774017,1.289,-3.435973,55.378051
267,6,Potatoes and frozen potatoes,Poland,2307,2017,692.7851047,692.7851047,692785.1047,692785.1047,0,1414,893,893000,POL,PL,51.919438,19.145136,1.289,-3.435973,55.378051
277,6,Potatoes and frozen potatoes,Portugal,26,2017,11.63692785,11.63692785,11636.92785,11636.92785,0,11,15,15000,PRT,PT,39.399872,-8.224454,1.289,-3.435973,55.378051
280,6,Potatoes and frozen potatoes,Romania,66,2017,11.63692785,11.63692785,11636.92785,11636.92785,0,51,15,15000,ROU,RO,45.943161,24.96676,1.289,-3.435973,55.378051
293,6,Potatoes and frozen potatoes,South Africa,1430,2017,671.0628394,671.0628394,671062.8394,671062.8394,0,565,865,865000,ZAF,ZA,-30.559482,22.937506,1.289,-3.435973,55.378051
306,6,Potatoes and frozen potatoes,Spain,11562,2017,3397.207137,3397.207137,3397207.137,3397207.137,0,7183,4379,4379000,ESP,ES,40.463667,-3.74922,1.289,-3.435973,55.378051
317,6,Potatoes and frozen potatoes,Sweden,1998,2017,366.1753297,366.1753297,366175.3297,366175.3297,0,1526,472,472000,SWE,SE,60.128161,18.643501,1.289,-3.435973,55.378051
344,6,Potatoes and frozen potatoes,United States,702,2017,393.3281614,393.3281614,393328.1614,393328.1614,0,195,507,507000,USA,US,37.09024,-95.712891,1.289,-3.435973,55.378051
345,6,Potatoes and frozen potatoes,Viet Nam,43,2017,30.25601241,30.25601241,30256.01241,30256.01241,0,4,39,39000,VNM,VN,14.058324,108.277199,1.289,-3.435973,55.378051
356,7,"Sheep, lamb, beef",Argentina,5903,2017,4114.041893,4114.041893,4114041.893,4114041.893,0,600,5303,5303000,ARG,AR,-38.416097,-63.616672,1.289,-3.435973,55.378051
367,7,"Sheep, lamb, beef",Australia,110483,2017,74818.46393,74818.46393,74818463.93,74818463.93,22,14020,96441,96441000,AUS,AU,-25.274398,133.775136,1.289,-3.435973,55.378051
378,7,"Sheep, lamb, beef",Austria,1538,2017,993.7936385,993.7936385,993793.6385,993793.6385,1,256,1281,1281000,AUT,AT,47.516231,14.550072,1.289,-3.435973,55.378051
390,7,"Sheep, lamb, beef",Belgium,15829,2017,10091.54383,10091.54383,10091543.83,10091543.83,0,2821,13008,13008000,BEL,BE,50.503887,4.469936,1.289,-3.435973,55.378051
402,7,"Sheep, lamb, beef",Botswana,28383,2017,19017.06749,19017.06749,19017067.49,19017067.49,0,3870,24513,24513000,BWA,BW,-22.328474,24.684866,1.289,-3.435973,55.378051
413,7,"Sheep, lamb, beef",Brazil,122702,2017,77724.59271,77724.59271,77724592.71,77724592.71,0,22515,100187,100187000,BRA,BR,-14.235004,-51.92528,1.289,-3.435973,55.378051
424,7,"Sheep, lamb, beef",Bulgaria,386,2017,196.2761831,196.2761831,196276.1831,196276.1831,0,133,253,253000,BGR,BG,42.733883,25.48583,1.289,-3.435973,55.378051
440,7,"Sheep, lamb, beef",Chile,1834,2017,1213.343677,1213.343677,1213343.677,1213343.677,0,270,1564,1564000,CHL,CL,-35.675147,-71.542969,1.289,-3.435973,55.378051
442,7,"Sheep, lamb, beef",China,92,2017,58.18463926,58.18463926,58184.63926,58184.63926,0,17,75,75000,CHN,CN,35.86166,104.195397,1.289,-3.435973,55.378051
456,7,"Sheep, lamb, beef",Cyprus,76,2017,40.34134988,40.34134988,40341.34988,40341.34988,0,24,52,52000,CYP,CY,35.126413,33.429859,1.289,-3.435973,55.378051
463,7,"Sheep, lamb, beef",Czechia,57,2017,42.66873545,42.66873545,42668.73545,42668.73545,0,2,55,55000,CZE,CZ,49.817492,15.472962,1.289,-3.435973,55.378051
474,7,"Sheep, lamb, beef",Denmark,22441,2017,14033.35919,14033.35919,14033359.19,14033359.19,0,4352,18089,18089000,DNK,DK,56.26392,9.501785,1.289,-3.435973,55.378051
492,7,"Sheep, lamb, beef",Falkland Islands (Malvinas),1963,2017,1201.706749,1201.706749,1201706.749,1201706.749,0,414,1549,1549000,FLK,FK,-51.796253,-59.523613,1.289,-3.435973,55.378051
496,7,"Sheep, lamb, beef",Finland,110,2017,58.18463926,58.18463926,58184.63926,58184.63926,0,35,75,75000,FIN,FI,61.92411,25.748151,1.289,-3.435973,55.378051
507,7,"Sheep, lamb, beef",France,36531,2017,23065.1668,23065.1668,23065166.8,23065166.8,0,6800,29731,29731000,FRA,FR,46.227638,2.213749,1.289,-3.435973,55.378051
518,7,"Sheep, lamb, beef",Germany,59438,2017,37794.41427,37794.41427,37794414.27,37794414.27,0,10721,48717,48717000,DEU,DE,51.165691,10.451526,1.289,-3.435973,55.378051
529,7,"Sheep, lamb, beef",Greece,3,2017,2.32738557,2.32738557,2327.38557,2327.38557,0,0,3,3000,GRC,GR,39.074208,21.824312,1.289,-3.435973,55.378051
536,7,"Sheep, lamb, beef",Hungary,115,2017,46.5477114,46.5477114,46547.7114,46547.7114,0,55,60,60000,HUN,HU,47.162494,19.503304,1.289,-3.435973,55.378051
547,7,"Sheep, lamb, beef",Iceland,5368,2017,3328.937161,3328.937161,3328937.161,3328937.161,0,1077,4291,4291000,ISL,IS,64.963051,-19.020835,1.289,-3.435973,55.378051
559,7,"Sheep, lamb, beef",Ireland,1067581,2017,683558.5725,683558.5725,683558572.5,683558572.5,0,186474,881107,881107000,IRL,IE,53.41291,-8.24389,1.289,-3.435973,55.378051
570,7,"Sheep, lamb, beef",Italy,13048,2017,8549.262995,8549.262995,8549262.995,8549262.995,0,2028,11020,11020000,ITA,IT,41.87194,12.56738,1.289,-3.435973,55.378051
574,7,"Sheep, lamb, beef",Japan,3238,2017,2483.320403,2483.320403,2483320.403,2483320.403,0,37,3201,3201000,JPN,JP,36.204824,138.252924,1.289,-3.435973,55.378051
580,7,"Sheep, lamb, beef",Lithuania,11,2017,7.757951901,7.757951901,7757.951901,7757.951901,0,1,10,10000,LTU,LT,55.169438,23.881275,1.289,-3.435973,55.378051
587,7,"Sheep, lamb, beef",Malta,4,2017,3.10318076,3.10318076,3103.18076,3103.18076,0,0,4,4000,MLT,MT,35.937496,14.375416,1.289,-3.435973,55.378051
598,7,"Sheep, lamb, beef",Namibia,16183,2017,10965.86501,10965.86501,10965865.01,10965865.01,0,2048,14135,14135000,NAM,NA,-22.95764,18.49041,1.289,-3.435973,55.378051
609,7,"Sheep, lamb, beef",Netherlands,102767,2017,66495.73313,66495.73313,66495733.13,66495733.13,0,17054,85713,85713000,NLD,NL,52.132633,5.291266,1.289,-3.435973,55.378051
620,7,"Sheep, lamb, beef",New Zealand,397688,2017,267439.8759,267439.8759,267439875.9,267439875.9,0,52958,344730,344730000,NZL,NZ,-40.900557,174.885971,1.289,-3.435973,55.378051
627,7,"Sheep, lamb, beef",Norway,460,2017,241.2723041,241.2723041,241272.3041,241272.3041,0,149,311,311000,NOR,NO,60.472024,8.468946,1.289,-3.435973,55.378051
634,7,"Sheep, lamb, beef",Paraguay,6873,2017,4739.332816,4739.332816,4739332.816,4739332.816,0,764,6109,6109000,PRY,PY,-23.442503,-58.443832,1.289,-3.435973,55.378051
645,7,"Sheep, lamb, beef",Poland,70663,2017,45906.90458,45906.90458,45906904.58,45906904.58,0,11489,59174,59174000,POL,PL,51.919438,19.145136,1.289,-3.435973,55.378051
656,7,"Sheep, lamb, beef",Portugal,2114,2017,1432.893716,1432.893716,1432893.716,1432893.716,0,267,1847,1847000,PRT,PT,39.399872,-8.224454,1.289,-3.435973,55.378051
664,7,"Sheep, lamb, beef",Romania,236,2017,139.6431342,139.6431342,139643.1342,139643.1342,0,56,180,180000,ROU,RO,45.943161,24.96676,1.289,-3.435973,55.378051
682,7,"Sheep, lamb, beef",Spain,20473,2017,12864.23584,12864.23584,12864235.84,12864235.84,0,3891,16582,16582000,ESP,ES,40.463667,-3.74922,1.289,-3.435973,55.378051
693,7,"Sheep, lamb, beef",Sweden,12125,2017,7114.041893,7114.041893,7114041.893,7114041.893,0,2955,9170,9170000,SWE,SE,60.128161,18.643501,1.289,-3.435973,55.378051
713,7,"Sheep, lamb, beef",United States,3,2017,2.32738557,2.32738557,2327.38557,2327.38557,0,0,3,3000,USA,US,37.09024,-95.712891,1.289,-3.435973,55.378051
724,7,"Sheep, lamb, beef",Uruguay,23528,2017,16473.23507,16473.23507,16473235.07,16473235.07,0,2294,21234,21234000,URY,UY,-32.522779,-55.765835,1.289,-3.435973,55.378051
743,5,"Onions, shallots, green",China,34,2017,6.982156711,6.982156711,6982.156711,6982.156711,0,25,9,9000,CHN,CN,35.86166,104.195397,1.289,-3.435973,55.378051
744,5,"Onions, shallots, green",Czechia,4,2017,2.32738557,2.32738557,2327.38557,2327.38557,0,1,3,3000,CZE,CZ,49.817492,15.472962,1.289,-3.435973,55.378051
752,5,"Onions, shallots, green",Egypt,704,2017,193.9487975,193.9487975,193948.7975,193948.7975,0,454,250,250000,EGY,EG,26.820553,30.802498,1.289,-3.435973,55.378051
763,5,"Onions, shallots, green",France,1874,2017,754.8487199,754.8487199,754848.7199,754848.7199,0,901,973,973000,FRA,FR,46.227638,2.213749,1.289,-3.435973,55.378051
779,5,"Onions, shallots, green",India,444,2017,71.37315749,71.37315749,71373.15749,71373.15749,0,352,92,92000,IND,IN,20.593684,78.96288,1.289,-3.435973,55.378051
790,5,"Onions, shallots, green",Ireland,96,2017,54.3056633,54.3056633,54305.6633,54305.6633,0,26,70,70000,IRL,IE,53.41291,-8.24389,1.289,-3.435973,55.378051
802,5,"Onions, shallots, green",Italy,16,2017,7.757951901,7.757951901,7757.951901,7757.951901,0,6,10,10000,ITA,IT,41.87194,12.56738,1.289,-3.435973,55.378051
821,5,"Onions, shallots, green",Netherlands,4345,2017,1684.251358,1684.251358,1684251.358,1684251.358,0,2174,2171,2171000,NLD,NL,52.132633,5.291266,1.289,-3.435973,55.378051
837,5,"Onions, shallots, green",Poland,705,2017,214.8952676,214.8952676,214895.2676,214895.2676,0,428,277,277000,POL,PL,51.919438,19.145136,1.289,-3.435973,55.378051
840,5,"Onions, shallots, green",South Africa,2,2017,1.55159038,1.55159038,1551.59038,1551.59038,0,0,2,2000,ZAF,ZA,-30.559482,22.937506,1.289,-3.435973,55.378051
848,5,"Onions, shallots, green",Spain,77,2017,31.0318076,31.0318076,31031.8076,31031.8076,0,37,40,40000,ESP,ES,40.463667,-3.74922,1.289,-3.435973,55.378051
856,5,"Onions, shallots, green",Thailand,3,2017,2.32738557,2.32738557,2327.38557,2327.38557,0,0,3,3000,THA,TH,15.870032,100.992541,1.289,-3.435973,55.378051
877,4,"Leeks, other alliaceous vegetables",Belgium,2118,2017,745.5391777,745.5391777,745539.1777,745539.1777,0,1157,961,961000,BEL,BE,50.503887,4.469936,1.289,-3.435973,55.378051
880,4,"Leeks, other alliaceous vegetables",Bulgaria,4,2017,1.55159038,1.55159038,1551.59038,1551.59038,0,2,2,2000,BGR,BG,42.733883,25.48583,1.289,-3.435973,55.378051
891,4,"Leeks, other alliaceous vegetables",China,355,2017,218.7742436,218.7742436,218774.2436,218774.2436,0,73,282,282000,CHN,CN,35.86166,104.195397,1.289,-3.435973,55.378051
908,4,"Leeks, other alliaceous vegetables",Cyprus,5,2017,0.77579519,0.77579519,775.7951901,775.7951901,0,4,1,1000,CYP,CY,35.126413,33.429859,1.289,-3.435973,55.378051
928,4,"Leeks, other alliaceous vegetables",Ethiopia,1155,2017,761.8308766,761.8308766,761830.8766,761830.8766,0,173,982,982000,ETH,ET,9.145,40.489673,1.289,-3.435973,55.378051
939,4,"Leeks, other alliaceous vegetables",France,1630,2017,665.6322731,665.6322731,665632.2731,665632.2731,0,772,858,858000,FRA,FR,46.227638,2.213749,1.289,-3.435973,55.378051
950,4,"Leeks, other alliaceous vegetables",Germany,105,2017,51.97827773,51.97827773,51978.27773,51978.27773,0,38,67,67000,DEU,DE,51.165691,10.451526,1.289,-3.435973,55.378051
962,4,"Leeks, other alliaceous vegetables",India,18,2017,11.63692785,11.63692785,11636.92785,11636.92785,0,3,15,15000,IND,IN,20.593684,78.96288,1.289,-3.435973,55.378051
973,4,"Leeks, other alliaceous vegetables",Ireland,459,2017,214.1194725,214.1194725,214119.4725,214119.4725,0,183,276,276000,IRL,IE,53.41291,-8.24389,1.289,-3.435973,55.378051
994,4,"Leeks, other alliaceous vegetables",Italy,4,2017,2.32738557,2.32738557,2327.38557,2327.38557,0,1,3,3000,ITA,IT,41.87194,12.56738,1.289,-3.435973,55.378051
996,4,"Leeks, other alliaceous vegetables",Jordan,16,2017,11.63692785,11.63692785,11636.92785,11636.92785,0,1,15,15000,JOR,JO,30.585164,36.238414,1.289,-3.435973,55.378051
1007,4,"Leeks, other alliaceous vegetables",Kenya,68,2017,46.5477114,46.5477114,46547.7114,46547.7114,0,8,60,60000,KEN,KE,-0.023559,37.906193,1.289,-3.435973,55.378051
1020,4,"Leeks, other alliaceous vegetables",Netherlands,3801,2017,1397.982933,1397.982933,1397982.933,1397982.933,0,1999,1802,1802000,NLD,NL,52.132633,5.291266,1.289,-3.435973,55.378051
1033,4,"Leeks, other alliaceous vegetables",Poland,94,2017,65.94259116,65.94259116,65942.59116,65942.59116,0,9,85,85000,POL,PL,51.919438,19.145136,1.289,-3.435973,55.378051
1043,4,"Leeks, other alliaceous vegetables",Portugal,31,2017,11.63692785,11.63692785,11636.92785,11636.92785,0,16,15,15000,PRT,PT,39.399872,-8.224454,1.289,-3.435973,55.378051
1045,4,"Leeks, other alliaceous vegetables",Romania,0,2017,0,0,0,0,0,0,0,0,ROU,RO,45.943161,24.96676,1.289,-3.435973,55.378051
1056,4,"Leeks, other alliaceous vegetables",South Africa,697,2017,478.6656323,478.6656323,478665.6323,478665.6323,0,80,617,617000,ZAF,ZA,-30.559482,22.937506,1.289,-3.435973,55.378051
1057,4,"Leeks, other alliaceous vegetables",South Korea,3,2017,2.32738557,2.32738557,2327.38557,2327.38557,0,0,3,3000,KOR,KR,35.907757,127.766922,1.289,-3.435973,55.378051
1068,4,"Leeks, other alliaceous vegetables",Spain,10929,2017,5408.06827,5408.06827,5408068.27,5408068.27,0,3958,6971,6971000,ESP,ES,40.463667,-3.74922,1.289,-3.435973,55.378051
1071,4,"Leeks, other alliaceous vegetables",Tanzania,38,2017,26.37703646,26.37703646,26377.03646,26377.03646,0,4,34,34000,TZA,TZ,-6.369028,34.888822,1.289,-3.435973,55.378051
1075,4,"Leeks, other alliaceous vegetables",Thailand,17,2017,11.63692785,11.63692785,11636.92785,11636.92785,0,2,15,15000,THA,TH,15.870032,100.992541,1.289,-3.435973,55.378051
1084,4,"Leeks, other alliaceous vegetables",Uganda,22,2017,15.5159038,15.5159038,15515.9038,15515.9038,0,2,20,20000,UGA,UG,1.373333,32.290275,1.289,-3.435973,55.378051
1090,4,"Leeks, other alliaceous vegetables",United States,60,2017,40.34134988,40.34134988,40341.34988,40341.34988,0,8,52,52000,USA,US,37.09024,-95.712891,1.289,-3.435973,55.378051
1091,4,"Leeks, other alliaceous vegetables",Viet Nam,2,2017,1.55159038,1.55159038,1551.59038,1551.59038,0,0,2,2000,VNM,VN,14.058324,108.277199,1.289,-3.435973,55.378051
1093,4,"Leeks, other alliaceous vegetables",Zimbabwe,6,2017,3.87897595,3.87897595,3878.97595,3878.97595,0,1,5,5000,ZWE,ZW,-19.015438,29.154857,1.289,-3.435973,55.378051
1103,2,Carrots and turnips,Austria,31,2017,10.08533747,10.08533747,10085.33747,10085.33747,0,18,13,13000,AUT,AT,47.516231,14.550072,1.289,-3.435973,55.378051
1114,2,Carrots and turnips,Belgium,2309,2017,539.9534523,539.9534523,539953.4523,539953.4523,0,1613,696,696000,BEL,BE,50.503887,4.469936,1.289,-3.435973,55.378051
1117,2,Carrots and turnips,Bulgaria,20,2017,3.87897595,3.87897595,3878.97595,3878.97595,0,15,5,5000,BGR,BG,42.733883,25.48583,1.289,-3.435973,55.378051
1128,2,Carrots and turnips,China,48,2017,17.06749418,17.06749418,17067.49418,17067.49418,0,26,22,22000,CHN,CN,35.86166,104.195397,1.289,-3.435973,55.378051
1141,2,Carrots and turnips,Denmark,55,2017,20.94647013,20.94647013,20946.47013,20946.47013,0,28,27,27000,DNK,DK,56.26392,9.501785,1.289,-3.435973,55.378051
1156,2,Carrots and turnips,France,8854,2017,3532.1955,3532.1955,3532195.5,3532195.5,0,4301,4553,4553000,FRA,FR,46.227638,2.213749,1.289,-3.435973,55.378051
1167,2,Carrots and turnips,Germany,332,2017,163.6927851,163.6927851,163692.7851,163692.7851,0,121,211,211000,DEU,DE,51.165691,10.451526,1.289,-3.435973,55.378051
1181,2,Carrots and turnips,Guatemala,305,2017,200.155159,200.155159,200155.159,200155.159,0,47,258,258000,GTM,GT,15.783471,-90.230759,1.289,-3.435973,55.378051
1183,2,Carrots and turnips,India,2,2017,0.77579519,0.77579519,775.7951901,775.7951901,0,1,1,1000,IND,IN,20.593684,78.96288,1.289,-3.435973,55.378051
1194,2,Carrots and turnips,Ireland,6681,2017,1101.62917,1101.62917,1101629.17,1101629.17,0,5261,1420,1420000,IRL,IE,53.41291,-8.24389,1.289,-3.435973,55.378051
1205,2,Carrots and turnips,Israel,7386,2017,2298.681148,2298.681148,2298681.148,2298681.148,0,4423,2963,2963000,ISR,IL,31.046051,34.851612,1.289,-3.435973,55.378051
1216,2,Carrots and turnips,Italy,8061,2017,2408.06827,2408.06827,2408068.27,2408068.27,0,4957,3104,3104000,ITA,IT,41.87194,12.56738,1.289,-3.435973,55.378051
1227,2,Carrots and turnips,Kenya,91,2017,59.73622964,59.73622964,59736.22964,59736.22964,0,14,77,77000,KEN,KE,-0.023559,37.906193,1.289,-3.435973,55.378051
1231,2,Carrots and turnips,Lithuania,30,2017,6.206361521,6.206361521,6206.361521,6206.361521,0,22,8,8000,LTU,LT,55.169438,23.881275,1.289,-3.435973,55.378051
1249,2,Carrots and turnips,Netherlands,6239,2017,2056.633049,2056.633049,2056633.049,2056633.049,0,3588,2651,2651000,NLD,NL,52.132633,5.291266,1.289,-3.435973,55.378051
1257,2,Carrots and turnips,Pakistan,2,2017,0.77579519,0.77579519,775.7951901,775.7951901,0,1,1,1000,PAK,PK,30.375321,69.345116,1.289,-3.435973,55.378051
1268,2,Carrots and turnips,Poland,10037,2017,5304.111715,5304.111715,5304111.715,5304111.715,0,3200,6837,6837000,POL,PL,51.919438,19.145136,1.289,-3.435973,55.378051
1279,2,Carrots and turnips,Portugal,171,2017,102.4049651,102.4049651,102404.9651,102404.9651,0,39,132,132000,PRT,PT,39.399872,-8.224454,1.289,-3.435973,55.378051
1280,2,Carrots and turnips,Romania,1,2017,0,0,0,0,0,1,0,0,ROU,RO,45.943161,24.96676,1.289,-3.435973,55.378051
1292,2,Carrots and turnips,South Africa,2477,2017,1684.251358,1684.251358,1684251.358,1684251.358,0,306,2171,2171000,ZAF,ZA,-30.559482,22.937506,1.289,-3.435973,55.378051
1303,2,Carrots and turnips,Spain,4375,2017,1212.567882,1212.567882,1212567.882,1212567.882,0,2812,1563,1563000,ESP,ES,40.463667,-3.74922,1.289,-3.435973,55.378051
1308,2,Carrots and turnips,Turkey,39,2017,14.74010861,14.74010861,14740.10861,14740.10861,0,20,19,19000,TUR,TR,38.963745,35.243322,1.289,-3.435973,55.378051
1319,2,Carrots and turnips,United States,395,2017,178.4328937,178.4328937,178432.8937,178432.8937,0,165,230,230000,USA,US,37.09024,-95.712891,1.289,-3.435973,55.378051
1329,2,Carrots and turnips,Zimbabwe,63,2017,42.66873545,42.66873545,42668.73545,42668.73545,0,8,55,55000,ZWE,ZW,-19.015438,29.154857,1.289,-3.435973,55.378051
1347,8,"Vegetables, fresh nes",Austria,3,2017,1.55159038,1.55159038,1551.59038,1551.59038,0,1,2,2000,AUT,AT,47.516231,14.550072,1.289,-3.435973,55.378051
1367,8,"Vegetables, fresh nes",Belgium,784,2017,273.0799069,273.0799069,273079.9069,273079.9069,0,432,352,352000,BEL,BE,50.503887,4.469936,1.289,-3.435973,55.378051
1376,8,"Vegetables, fresh nes",Bulgaria,1,2017,0,0,0,0,0,1,0,0,BGR,BG,42.733883,25.48583,1.289,-3.435973,55.378051
1392,8,"Vegetables, fresh nes",China,39,2017,18.61908456,18.61908456,18619.08456,18619.08456,0,15,24,24000,CHN,CN,35.86166,104.195397,1.289,-3.435973,55.378051
1419,8,"Vegetables, fresh nes",Cyprus,30,2017,6.982156711,6.982156711,6982.156711,6982.156711,0,21,9,9000,CYP,CY,35.126413,33.429859,1.289,-3.435973,55.378051
1472,8,"Vegetables, fresh nes",France,9634,2017,4039.565555,4039.565555,4039565.555,4039565.555,0,4427,5207,5207000,FRA,FR,46.227638,2.213749,1.289,-3.435973,55.378051
1486,8,"Vegetables, fresh nes",Germany,8270,2017,3907.680372,3907.680372,3907680.372,3907680.372,0,3233,5037,5037000,DEU,DE,51.165691,10.451526,1.289,-3.435973,55.378051
1501,8,"Vegetables, fresh nes",Greece,12,2017,3.87897595,3.87897595,3878.97595,3878.97595,0,7,5,5000,GRC,GR,39.074208,21.824312,1.289,-3.435973,55.378051
1519,8,"Vegetables, fresh nes",Hong Kong,5,2017,2.32738557,2.32738557,2327.38557,2327.38557,0,2,3,3000,HKG,HK,22.396428,114.109497,1.289,-3.435973,55.378051
1530,8,"Vegetables, fresh nes",Hungary,433,2017,213.3436773,213.3436773,213343.6773,213343.6773,0,158,275,275000,HUN,HU,47.162494,19.503304,1.289,-3.435973,55.378051
1551,8,"Vegetables, fresh nes",Ireland,866,2017,360.7447634,360.7447634,360744.7634,360744.7634,0,401,465,465000,IRL,IE,53.41291,-8.24389,1.289,-3.435973,55.378051
1562,8,"Vegetables, fresh nes",Israel,2417,2017,971.295578,971.295578,971295.578,971295.578,0,1165,1252,1252000,ISR,IL,31.046051,34.851612,1.289,-3.435973,55.378051
1573,8,"Vegetables, fresh nes",Italy,1845,2017,677.2692009,677.2692009,677269.2009,677269.2009,0,972,873,873000,ITA,IT,41.87194,12.56738,1.289,-3.435973,55.378051
1588,8,"Vegetables, fresh nes",Japan,87,2017,66.71838635,66.71838635,66718.38635,66718.38635,0,1,86,86000,JPN,JP,36.204824,138.252924,1.289,-3.435973,55.378051
1609,8,"Vegetables, fresh nes",Latvia,49,2017,20.94647013,20.94647013,20946.47013,20946.47013,0,22,27,27000,LVA,LV,56.879635,24.603189,1.289,-3.435973,55.378051
1625,8,"Vegetables, fresh nes",Lithuania,2235,2017,851.0473235,851.0473235,851047.3235,851047.3235,0,1138,1097,1097000,LTU,LT,55.169438,23.881275,1.289,-3.435973,55.378051
1649,8,"Vegetables, fresh nes",Morocco,2724,2017,972.0713732,972.0713732,972071.3732,972071.3732,0,1471,1253,1253000,MAR,MA,31.791702,-7.09262,1.289,-3.435973,55.378051
1668,8,"Vegetables, fresh nes",Netherlands,20061,2017,7349.883631,7349.883631,7349883.631,7349883.631,0,10587,9474,9474000,NLD,NL,52.132633,5.291266,1.289,-3.435973,55.378051
1711,8,"Vegetables, fresh nes",Poland,906,2017,244.3754849,244.3754849,244375.4849,244375.4849,0,591,315,315000,POL,PL,51.919438,19.145136,1.289,-3.435973,55.378051
